iter	Passed	Remaining
0	1	1277
1	2	1282
2	4	1409
3	5	1359
4	6	1343
5	7	1324
6	9	1336
7	10	1340
8	12	1343
9	13	1323
10	14	1333
11	16	1326
12	17	1312
13	18	1322
14	20	1333
15	21	1325
16	22	1315
17	23	1298
18	24	1285
19	26	1289
20	27	1282
21	28	1268
22	29	1260
23	31	1276
24	32	1275
25	34	1284
26	35	1289
27	36	1280
28	38	1274
29	39	1268
30	40	1264
31	41	1264
32	42	1259
33	44	1254
34	45	1247
35	46	1241
36	47	1239
37	48	1235
38	50	1243
39	51	1241
40	53	1239
41	54	1236
42	55	1234
43	56	1233
44	58	1233
45	59	1229
46	60	1226
47	61	1224
48	63	1227
49	64	1226
50	66	1232
51	67	1232
52	68	1232
53	70	1230
54	71	1228
55	72	1229
56	74	1227
57	75	1227
58	76	1225
59	78	1229
60	79	1228
61	81	1229
62	82	1233
63	84	1242
64	87	1254
65	89	1260
66	90	1259
67	91	1257
68	93	1255
69	94	1254
70	95	1252
71	97	1251
72	98	1254
73	100	1253
74	101	1252
75	102	1249
76	104	1251
77	105	1249
78	107	1250
79	108	1251
80	110	1251
81	111	1252
82	151	1669
83	155	1695
84	157	1692
85	158	1687
86	160	1679
87	161	1677
88	163	1673
89	165	1673
90	167	1672
91	169	1672
92	171	1672
93	173	1674
94	175	1673
95	177	1668
96	179	1666
97	180	1665
98	182	1658
99	183	1651
100	184	1641
101	185	1635
102	187	1629
103	188	1623
104	189	1619
105	191	1613
106	192	1610
107	194	1606
108	195	1601
109	197	1594
110	198	1589
111	199	1583
112	200	1577
113	202	1572
114	203	1567
115	205	1567
116	207	1564
117	208	1558
118	209	1554
119	211	1549
120	212	1543
121	214	1540
122	215	1535
123	216	1530
124	217	1524
125	218	1518
126	220	1513
127	222	1512
128	223	1507
129	224	1504
130	226	1499
131	227	1494
132	228	1490
133	229	1485
134	231	1481
135	232	1476
136	233	1470
137	234	1466
138	236	1462
139	237	1459
140	238	1454
141	240	1451
142	241	1447
143	243	1445
144	244	1441
145	245	1437
146	246	1432
147	248	1428
148	249	1424
149	250	1419
150	251	1415
151	253	1413
152	254	1409
153	256	1406
154	257	1404
155	258	1397
156	259	1392
157	260	1389
158	262	1386
159	263	1381
160	264	1377
161	265	1374
162	266	1370
163	268	1369
164	269	1366
165	271	1363
166	272	1360
167	273	1356
168	275	1353
169	276	1349
170	277	1345
171	279	1344
172	280	1342
173	282	1339
174	283	1337
175	285	1334
176	286	1332
177	288	1330
178	289	1329
179	291	1327
180	292	1324
181	294	1321
182	295	1318
183	296	1315
184	298	1313
185	299	1312
186	301	1309
187	302	1307
188	304	1306
189	305	1304
190	307	1301
191	308	1299
192	309	1296
193	311	1293
194	312	1291
195	314	1288
196	316	1288
197	317	1286
198	319	1284
199	320	1283
200	322	1280
201	323	1276
202	324	1273
203	325	1270
204	326	1267
205	328	1264
206	330	1264
207	331	1261
208	332	1258
209	333	1256
210	335	1256
211	351	1306
212	353	1304
213	354	1302
214	357	1305
215	359	1305
216	361	1303
217	362	1301
218	364	1298
219	365	1296
220	366	1293
221	368	1291
222	369	1288
223	371	1285
224	372	1282
225	373	1279
226	374	1276
227	376	1273
228	377	1270
229	378	1268
230	380	1265
231	381	1263
232	383	1262
233	384	1259
234	386	1256
235	387	1254
236	388	1251
237	390	1249
238	391	1246
239	393	1245
240	394	1243
241	395	1240
242	397	1237
243	398	1235
244	400	1234
245	401	1231
246	403	1229
247	404	1226
248	405	1224
249	407	1222
250	408	1219
251	410	1217
252	411	1215
253	413	1213
254	414	1212
255	416	1210
256	418	1208
257	419	1207
258	421	1205
259	422	1203
260	424	1200
261	425	1198
262	426	1195
263	428	1195
264	430	1193
265	431	1191
266	433	1189
267	434	1187
268	435	1184
269	437	1181
270	438	1179
271	439	1176
272	441	1175
273	442	1173
274	444	1171
275	446	1170
276	447	1168
277	449	1166
278	450	1164
279	451	1161
280	453	1159
281	454	1156
282	455	1153
283	457	1152
284	458	1150
285	460	1149
286	461	1147
287	463	1144
288	464	1142
289	465	1139
290	466	1136
291	467	1134
292	469	1132
293	470	1130
294	473	1131
295	475	1130
296	476	1128
297	478	1126
298	479	1124
299	481	1122
300	482	1120
301	484	1119
302	485	1117
303	486	1114
304	488	1112
305	489	1110
306	491	1108
307	492	1107
308	494	1105
309	495	1103
310	497	1101
311	499	1100
312	500	1098
313	501	1096
314	503	1094
315	505	1093
316	507	1093
317	508	1091
318	510	1089
319	511	1086
320	512	1084
321	514	1082
322	515	1080
323	516	1077
324	517	1074
325	519	1073
326	520	1071
327	521	1069
328	523	1067
329	524	1065
330	526	1063
331	528	1062
332	529	1060
333	531	1059
334	532	1057
335	534	1056
336	536	1054
337	538	1054
338	540	1053
339	541	1050
340	543	1049
341	545	1049
342	546	1047
343	548	1045
344	549	1043
